Time,AccX,AccY,AccZ,MagX,MagY,MagZ,Heading,Gesture
40092,-80,-64,-1008,2178,-21287,33456,191,face up
40128,-64,-144,-992,1678,-16087,33756,190,face up
40164,-80,-208,-976,1678,-16087,33756,191,face up
40200,-64,-240,-992,2078,-11987,36156,192,face up
40236,-64,-240,-992,2078,-11987,36156,192,face up
40272,-64,-320,-944,2078,-11987,36156,191,face up
40308,-48,-384,-912,2078,-6187,35656,191,face up
40344,-48,-384,-928,2078,-6187,35656,191,face up
40380,-32,-464,-896,2878,-2187,35356,192,face up
40416,-32,-480,-880,2878,-2187,35356,192,face up
40452,-16,-512,-880,2878,-2187,35356,190,face up
40488,-16,-512,-864,2978,1513,35156,192,face up
40524,-16,-576,-832,2978,1513,35156,191,face up
40560,0,-592,-816,2978,1513,35156,188,face up
40596,0,-624,-784,3278,5813,34156,191,face up
40632,0,-656,-768,3278,5813,34156,190,face up
40674,0,-688,-752,3678,8613,32856,193,face up
40710,0,-688,-752,3678,8613,32856,193,face up
40782,0,-736,-688,4378,12013,31656,196,face up
40818,0,-752,-672,4378,12013,31656,195,face up
40854,0,-768,-656,4178,14213,30856,196,face up
40890,0,-784,-640,4178,14213,30856,195,face up
40926,0,-816,-608,4178,14213,30856,194,face up
40962,0,-800,-592,3778,17213,30156,195,face up
40998,16,-832,-576,3778,17213,30156,191,face up
41034,0,-848,-560,3578,18513,28156,195,face up
41070,16,-832,-544,3578,18513,28156,191,face up
41106,16,-848,-528,3578,18513,28156,190,face up
41142,0,-864,-512,3778,20513,27456,196,face up
41178,0,-880,-496,3778,20513,27456,195,face up
41214,16,-880,-480,4078,22013,25356,195,face up
41250,16,-896,-464,4078,22013,25356,194,face up
41286,0,-928,-464,4078,22013,25356,197,face up
41322,16,-896,-448,4278,23113,24756,195,face up
41394,16,-848,-416,4278,23113,24756,195,down
41430,16,-896,-496,3778,23813,24956,195,down
